,0
B3GNT6,False
B3GNT7,True
B3GNT8,True
B3GNT9,True
B3GNTL1,True
B4GALNT1,True
B4GALNT2,True
B4GALNT3,True
B4GALNT4,True
B4GALT1,True
B4GALT2,True
B4GALT3,True
B4GALT4,True
B4GALT5,True
B4GALT6,True
B4GALT7,True
B9D1,True
B9D2,True
BAALC,True
BAAT,True
BABAM1,True
BACE1,True
BACE1-AS,True
BACE2,True
BACH1,True
BACH2,True
BAD,True
BAG1,True
BAG2,True
BAG3,True
BAG4,True
BAG5,True
BAG6,True
BAHCC1,True
BAHD1,True
BAI1,False
BAI2,True
BAI3,True
BAIAP2,True
BAIAP2-AS1,True
BAIAP2L1,True
BAIAP2L2,True
BAIAP3,True
BAK1,True
BAMBI,True
BANCR,True
BANF1,False
BANF2,True
BANK1,True
BANP,True
BAP1,True
BARD1,True
BARHL1,True
BARHL2,True
BARX1,True
BARX2,True
BASP1,True
BASP1P1,False
BATF,True
BATF2,True
BATF3,True
BAX,True
BAZ1A,True
BAZ1B,True
BAZ2A,True
BAZ2B,True
BBC3,True
BBIP1,True
BBOX1,True
BBS1,True
BBS10,True
BBS12,True
BBS2,True
BBS4,True
BBS5,True
BBS7,True
BBS9,True
BBX,True
BCAM,True
BCAN,True
BCAP29,True
BCAR1,True
BCAR3,True
BCAR4,True
BCAS1,True
BCAS2,True
BCAS3,True
BCAS4,True
BCAT1,True
BCAT2,True
BCCIP,True
BCDIN3D,True
BCDIN3D-AS1,True
BCHE,False
BCKDHA,True
BCKDHB,True
BCKDK,True
BCL10,True
BCL11A,True
BCL11B,True
BCL2,True
BCL2A1,True
BCL2L1,True
BCL2L10,True
BCL2L11,True
BCL2L12,True
BCL2L13,True
BCL2L14,True
BCL2L15,True
BCL2L2,True
BCL2L2-PABPN1,True
BCL3,True
BCL6,True
BCL6B,True
BCL7A,True
BCL7B,True
BCL7C,True
BCL9,True
BCL9L,True
BCLAF1,True
BCMO1,True
BCO2,True
BCR,True
BCRP2,True
BCRP3,True
BCS1L,True
BDH1,False
BDH2,True
BDKRB1,True
BDKRB2,True
BDNF,True
BDNF-AS,True
BDP1,True
BEAN1,True
BECN1,True
BEGAIN,True
BEND3,True
BEND3P3,False
BEND4,False
BEND5,True
BEND6,True
BEND7,True
BEST1,True
BEST2,True
BEST3,False
BEST4,True
BET1,True
BET1L,True
BFAR,True
BFSP1,True
BFSP2,True
BGLAP,True
BHLHA15,True
BHLHA9,True
BHLHE22,True
BHLHE23,True
BHLHE40,True
BHLHE40-AS1,True
BHLHE41,True
BHMT,True
BHMT2,True
BICC1,True
BICD1,True
BICD2,True
BID,True
BIK,True
BIN1,True
BIN2,True
BIN3,True
BIRC2,True
BIRC3,True
BIRC5,True
BIRC6,True
BIRC7,True
BIRC8,False
BIVM,False
BIVM-ERCC5,False
BLCAP,True
BLID,True
BLK,True
BLM,True
BLMH,True
BLNK,True
BLOC1S1,True
BLOC1S1-RDH5,True
BLOC1S2,True
BLOC1S3,True
BLOC1S4,True
BLOC1S5,True
BLOC1S5-TXNDC5,True
BLOC1S6,True
BLVRA,True
BLVRB,True
BLZF1,True
BMF,True
BMI1,True
BMP1,True
BMP10,False
BMP2,True
BMP2K,True
BMP3,True
BMP4,True
BMP5,False
BMP6,True
BMP7,True
BMP8A,True
BMP8B,True
BMPER,True
BMPR1A,True
BMPR1B,True
BMPR2,True
BMS1,True
BMS1P1,False
BMS1P4,True
BMS1P6,False
BNC1,True
BNC2,True
BNIP1,True
BNIP2,True
BNIP3,True
BNIP3L,True
BNIPL,False
BOC,True
BOD1,True
BOD1L1,True
BOD1L2,False
BOK,True
BOK-AS1,True
BOLA1,True
BOLA3,True
BOLA3-AS1,True
BOLL,True
BOP1,True
BORA,True
BPESC1,False
BPGM,True
BPHL,True
BPI,True
BPIFA1,False
BPIFA2,False
BPIFA3,False
BPIFA4P,False
BPIFB1,False
BPIFB2,False
BPIFB3,False
BPIFB4,True
BPIFB6,False
BPIFC,False
BPNT1,True
BPTF,True
BRAF,True
BRAP,True
BRAT1,True
BRCA1,True
BRCA2,True
BRD1,True
BRD2,True
BRD3,True
BRD4,True
BRD7,True
BRD7P3,False
BRD8,True
BRD9,True
BRDT,False
BRE,True
BREA2,False
BRE-AS1,True
BRF1,True
BRF2,True
BRI3,True
BRI3BP,True
BRICD5,True
BRIP1,True
BRIX1,True
BRK1,True
BRMS1,True
BRMS1L,True
BROX,True
BRPF1,True
BRPF3,True
BRSK1,True
BRSK2,True
BRWD1,True
BRWD1-AS1,True
BRWD1-IT2,True
BSCL2,True
BSDC1,True
BSG,True
BSN,True
BSN-AS2,True
BSND,True
BSPH1,False
BSPRY,True
BST1,True
BST2,True
BSX,True
BTAF1,True
BTBD1,True
BTBD10,True
BTBD11,True
BTBD16,True
BTBD17,True
BTBD18,False
BTBD19,True
BTBD2,True
BTBD3,True
BTBD6,True
